,index,Season,Team,M,W,D,L,G,GA,PTS,xG,xGdiff,xGA,xGAdiff,xPTS,xPTSdiff
0,0,2016.0,Chelsea,38.0,30.0,3.0,5.0,85.0,33.0,93.0,61.8,-23.2,28.62,-4.38,75.74,-17.26
1,0,2016.0,Tottenham,38.0,26.0,8.0,4.0,86.0,26.0,86.0,70.07,-15.93,33.78,7.78,75.37,-10.63
2,0,2016.0,Manchester City,38.0,23.0,9.0,6.0,80.0,39.0,78.0,79.85,-0.15,29.61,-9.39,85.41,7.41
3,0,2016.0,Liverpool,38.0,22.0,10.0,6.0,78.0,42.0,76.0,66.63,-11.37,37.65,-4.35,69.83,-6.17
4,0,2016.0,Arsenal,38.0,23.0,6.0,9.0,77.0,44.0,75.0,63.58,-13.42,47.07,3.07,62.12,-12.88
5,0,2016.0,Manchester United,38.0,18.0,15.0,5.0,54.0,29.0,69.0,57.57,3.57,31.62,2.62,70.89,1.89
6,0,2016.0,Everton,38.0,17.0,10.0,11.0,62.0,44.0,61.0,49.63,-12.37,45.78,1.78,55.78,-5.22
7,0,2016.0,Southampton,38.0,12.0,10.0,16.0,41.0,48.0,46.0,49.98,8.98,43.08,-4.92,55.69,9.69
8,0,2016.0,Bournemouth,38.0,12.0,10.0,16.0,55.0,67.0,46.0,50.02,-4.98,62.99,-4.01,43.17,-2.83
9,0,2016.0,West Bromwich Albion,38.0,12.0,9.0,17.0,43.0,51.0,45.0,38.21,-4.79,47.9,-3.1,45.59,0.59
10,0,2016.0,West Ham,38.0,12.0,9.0,17.0,47.0,64.0,45.0,48.25,1.25,59.67,-4.33,46.04,1.04
11,0,2016.0,Leicester,38.0,12.0,8.0,18.0,48.0,63.0,44.0,44.34,-3.66,51.3,-11.7,48.12,4.12
12,0,2016.0,Stoke,38.0,11.0,11.0,16.0,41.0,56.0,44.0,47.87,6.87,48.67,-7.33,52.29,8.29
13,0,2016.0,Crystal Palace,38.0,12.0,5.0,21.0,50.0,63.0,41.0,45.4,-4.6,50.03,-12.97,48.45,7.45
14,0,2016.0,Swansea,38.0,12.0,5.0,21.0,45.0,70.0,41.0,39.5,-5.5,65.13,-4.87,36.49,-4.51
15,0,2016.0,Burnley,38.0,11.0,7.0,20.0,39.0,55.0,40.0,35.59,-3.41,55.27,0.27,38.36,-1.64
16,0,2016.0,Watford,38.0,11.0,7.0,20.0,40.0,68.0,40.0,36.25,-3.75,52.62,-15.38,40.62,0.62
17,0,2016.0,Hull,38.0,9.0,7.0,22.0,37.0,80.0,34.0,33.84,-3.16,71.77,-8.23,30.73,-3.27
18,0,2016.0,Middlesbrough,38.0,5.0,13.0,20.0,27.0,53.0,28.0,30.93,3.93,55.3,2.3,37.25,9.25
19,0,2016.0,Sunderland,38.0,6.0,6.0,26.0,29.0,69.0,24.0,34.22,5.22,65.66,-3.34,32.24,8.24
20,0,2016.0,Real Madrid,38.0,29.0,6.0,3.0,106.0,41.0,93.0,90.87,-15.13,36.86,-4.14,86.17,-6.83
21,0,2016.0,Barcelona,38.0,28.0,6.0,4.0,116.0,37.0,90.0,93.55,-22.45,31.32,-5.68,87.95,-2.05
22,0,2016.0,Atletico Madrid,38.0,23.0,9.0,6.0,70.0,27.0,78.0,60.66,-9.34,31.34,4.34,69.1,-8.9
23,0,2016.0,Sevilla,38.0,21.0,9.0,8.0,69.0,49.0,72.0,59.09,-9.91,38.7,-10.3,66.18,-5.82
24,0,2016.0,Villarreal,38.0,19.0,10.0,9.0,56.0,33.0,67.0,52.23,-3.77,43.16,10.16,59.57,-7.43
25,0,2016.0,Real Sociedad,38.0,19.0,7.0,12.0,59.0,53.0,64.0,45.58,-13.42,43.71,-9.29,54.94,-9.06
26,0,2016.0,Athletic Club,38.0,19.0,6.0,13.0,53.0,43.0,63.0,51.08,-1.92,40.46,-2.54,60.54,-2.46
27,0,2016.0,Espanyol,38.0,15.0,11.0,12.0,49.0,50.0,56.0,32.55,-16.45,38.35,-11.65,46.92,-9.08
28,0,2016.0,Alaves,38.0,14.0,13.0,11.0,41.0,43.0,55.0,42.6,1.6,43.97,0.97,52.79,-2.21
29,0,2016.0,Eibar,38.0,15.0,9.0,14.0,56.0,51.0,54.0,42.98,-13.02,45.17,-5.83,50.05,-3.95
30,0,2016.0,Malaga,38.0,12.0,10.0,16.0,49.0,55.0,46.0,40.37,-8.63,47.35,-7.65,45.75,-0.25
31,0,2016.0,Valencia,38.0,13.0,7.0,18.0,56.0,65.0,46.0,50.34,-5.66,50.96,-14.04,53.39,7.39
32,0,2016.0,Celta Vigo,38.0,13.0,6.0,19.0,53.0,69.0,45.0,40.48,-12.52,55.98,-13.02,42.63,-2.37
33,0,2016.0,Las Palmas,38.0,10.0,9.0,19.0,53.0,74.0,39.0,40.8,-12.2,58.39,-15.61,42.11,3.11
34,0,2016.0,Real Betis,38.0,10.0,9.0,19.0,41.0,64.0,39.0,35.72,-5.28,48.27,-15.73,44.56,5.56
35,0,2016.0,Deportivo La Coruna,38.0,8.0,12.0,18.0,43.0,61.0,36.0,41.0,-2.0,48.6,-12.4,51.16,15.16
36,0,2016.0,Leganes,38.0,8.0,11.0,19.0,36.0,55.0,35.0,33.19,-2.81,46.39,-8.61,40.95,5.95
37,0,2016.0,Sporting Gijon,38.0,7.0,10.0,21.0,42.0,72.0,31.0,36.35,-5.65,64.43,-7.57,33.86,2.86
38,0,2016.0,Osasuna,38.0,4.0,10.0,24.0,40.0,94.0,22.0,33.13,-6.87,64.82,-29.18,31.64,9.64
39,0,2016.0,Granada,38.0,4.0,8.0,26.0,30.0,82.0,20.0,29.69,-0.31,74.03,-7.97,26.5,6.5
40,0,2016.0,Bayern Munich,34.0,25.0,7.0,2.0,89.0,22.0,82.0,73.91,-15.09,27.04,5.04,73.76,-8.24
41,0,2016.0,RasenBallsport Leipzig,34.0,20.0,7.0,7.0,66.0,39.0,67.0,55.09,-10.91,40.06,1.06,59.54,-7.46
42,0,2016.0,Borussia Dortmund,34.0,18.0,10.0,6.0,72.0,40.0,64.0,74.91,2.91,34.61,-5.39,68.06,4.06
43,0,2016.0,Hoffenheim,34.0,16.0,14.0,4.0,64.0,37.0,62.0,54.5,-9.5,41.44,4.44,55.44,-6.56
44,0,2016.0,FC Cologne,34.0,12.0,13.0,9.0,51.0,42.0,49.0,45.34,-5.66,41.27,-0.73,48.75,-0.25
45,0,2016.0,Hertha Berlin,34.0,15.0,4.0,15.0,43.0,47.0,49.0,38.15,-4.85,49.39,2.39,40.4,-8.6
46,0,2016.0,Freiburg,34.0,14.0,6.0,14.0,42.0,60.0,48.0,39.41,-2.59,54.62,-5.38,39.14,-8.86
47,0,2016.0,Werder Bremen,34.0,13.0,6.0,15.0,61.0,64.0,45.0,42.99,-18.01,60.55,-3.45,38.82,-6.18
48,0,2016.0,Borussia M.Gladbach,34.0,12.0,9.0,13.0,45.0,49.0,45.0,45.82,0.82,44.44,-4.56,47.31,2.31
49,0,2016.0,Schalke 04,34.0,11.0,10.0,13.0,45.0,40.0,43.0,44.86,-0.14,43.87,3.87,46.37,3.37
50,0,2016.0,Eintracht Frankfurt,34.0,11.0,9.0,14.0,36.0,43.0,42.0,43.59,7.59,38.33,-4.67,50.68,8.68
51,0,2016.0,Bayer Leverkusen,34.0,11.0,8.0,15.0,53.0,55.0,41.0,53.1,0.1,50.38,-4.62,49.63,8.63
52,0,2016.0,Augsburg,34.0,9.0,11.0,14.0,35.0,51.0,38.0,33.88,-1.12,52.26,1.26,34.81,-3.19
53,0,2016.0,Hamburger SV,34.0,10.0,8.0,16.0,33.0,61.0,38.0,31.91,-1.09,57.14,-3.86,31.51,-6.49
54,0,2016.0,Mainz 05,34.0,10.0,7.0,17.0,44.0,55.0,37.0,42.36,-1.64,43.23,-11.77,46.47,9.47
55,0,2016.0,Wolfsburg,34.0,10.0,7.0,17.0,34.0,52.0,37.0,44.47,10.47,46.85,-5.15,46.38,9.38
56,0,2016.0,Ingolstadt,34.0,8.0,8.0,18.0,36.0,57.0,32.0,44.51,8.51,49.19,-7.81,42.54,10.54
57,0,2016.0,Darmstadt,34.0,7.0,4.0,23.0,28.0,63.0,25.0,33.91,5.91,68.04,5.04,26.47,1.47
58,0,2016.0,Juventus,38.0,29.0,4.0,5.0,77.0,27.0,91.0,68.74,-8.26,23.6,-3.4,82.86,-8.14
59,0,2016.0,Roma,38.0,28.0,3.0,7.0,90.0,38.0,87.0,83.0,-7.0,41.08,3.08,77.39,-9.61
60,0,2016.0,Napoli,38.0,26.0,8.0,4.0,94.0,39.0,86.0,77.51,-16.49,32.16,-6.84,81.28,-4.72
61,0,2016.0,Atalanta,38.0,21.0,9.0,8.0,62.0,41.0,72.0,61.39,-0.61,34.35,-6.65,68.92,-3.08
62,0,2016.0,Lazio,38.0,21.0,7.0,10.0,74.0,51.0,70.0,65.39,-8.61,41.77,-9.23,67.36,-2.64
63,0,2016.0,AC Milan,38.0,18.0,9.0,11.0,57.0,45.0,63.0,59.67,2.67,50.21,5.21,58.88,-4.12
64,0,2016.0,Inter,38.0,19.0,5.0,14.0,72.0,49.0,62.0,68.76,-3.24,44.78,-4.22,67.65,5.65
65,0,2016.0,Fiorentina,38.0,16.0,12.0,10.0,63.0,57.0,60.0,55.14,-7.86,53.3,-3.7,55.61,-4.39
66,0,2016.0,Torino,38.0,13.0,14.0,11.0,71.0,66.0,53.0,57.4,-13.6,61.72,-4.28,48.75,-4.25
67,0,2016.0,Sassuolo,38.0,14.0,7.0,17.0,60.0,61.0,49.0,50.57,-9.43,61.9,0.9,44.56,-4.44
68,0,2016.0,Sampdoria,38.0,12.0,12.0,14.0,49.0,55.0,48.0,46.17,-2.83,56.86,1.86,46.62,-1.38
69,0,2016.0,Cagliari,38.0,14.0,5.0,19.0,55.0,76.0,47.0,42.42,-12.58,68.32,-7.68,36.17,-10.83
70,0,2016.0,Udinese,38.0,12.0,9.0,17.0,47.0,56.0,45.0,44.94,-2.06,54.66,-1.34,47.22,2.22
71,0,2016.0,Chievo,38.0,12.0,7.0,19.0,43.0,61.0,43.0,42.74,-0.26,55.01,-5.99,45.88,2.88
72,0,2016.0,Bologna,38.0,11.0,8.0,19.0,40.0,58.0,41.0,36.51,-3.49,58.3,0.3,38.57,-2.43
73,0,2016.0,Genoa,38.0,9.0,9.0,20.0,38.0,64.0,36.0,45.2,7.2,51.25,-12.75,49.0,13.0
74,0,2016.0,Crotone,38.0,9.0,7.0,22.0,34.0,58.0,34.0,34.17,0.17,61.23,3.23,33.94,-0.06
75,0,2016.0,Empoli,38.0,8.0,8.0,22.0,29.0,61.0,32.0,35.09,6.09,67.01,6.01,33.29,1.29
76,0,2016.0,Palermo,38.0,6.0,8.0,24.0,33.0,77.0,26.0,28.92,-4.08,60.94,-16.06,30.52,4.52
77,0,2016.0,Pescara,38.0,2.0,9.0,27.0,35.0,83.0,15.0,43.12,8.12,68.41,-14.59,38.05,23.05
78,0,2016.0,Monaco,38.0,30.0,5.0,3.0,107.0,31.0,95.0,76.04,-30.96,34.89,3.89,78.06,-16.94
79,0,2016.0,Paris Saint Germain,38.0,27.0,6.0,5.0,83.0,27.0,87.0,82.16,-0.84,24.25,-2.75,87.22,0.22
80,0,2016.0,Nice,38.0,22.0,12.0,4.0,63.0,36.0,78.0,51.54,-11.46,50.89,14.89,53.47,-24.53
81,0,2016.0,Lyon,38.0,21.0,4.0,13.0,80.0,48.0,67.0,71.13,-8.87,41.03,-6.97,69.07,2.07
82,0,2016.0,Marseille,38.0,17.0,11.0,10.0,57.0,41.0,62.0,53.83,-3.17,47.33,6.33,56.84,-5.16
83,0,2016.0,Bordeaux,38.0,15.0,14.0,9.0,53.0,43.0,59.0,52.02,-0.98,44.11,1.11,58.16,-0.84
84,0,2016.0,Nantes,38.0,14.0,9.0,15.0,40.0,54.0,51.0,42.99,2.99,44.62,-9.38,52.83,1.83
85,0,2016.0,Saint-Etienne,38.0,12.0,14.0,12.0,41.0,42.0,50.0,42.92,1.92,50.26,8.26,49.18,-0.82
86,0,2016.0,Rennes,38.0,12.0,14.0,12.0,36.0,42.0,50.0,41.81,5.81,43.54,1.54,50.94,0.94
87,0,2016.0,Guingamp,38.0,14.0,8.0,16.0,46.0,53.0,50.0,47.14,1.14,52.31,-0.69,48.49,-1.51
88,0,2016.0,Lille,38.0,13.0,7.0,18.0,40.0,47.0,46.0,44.08,4.08,48.77,1.77,47.24,1.24
89,0,2016.0,Angers,38.0,13.0,7.0,18.0,40.0,49.0,46.0,46.19,6.19,41.02,-7.98,54.69,8.69
90,0,2016.0,Toulouse,38.0,10.0,14.0,14.0,37.0,41.0,44.0,41.19,4.19,42.98,1.98,50.61,6.61
91,0,2016.0,Metz,38.0,11.0,10.0,17.0,39.0,72.0,43.0,34.76,-4.24,63.68,-8.32,36.0,-7.0
92,0,2016.0,Montpellier,38.0,10.0,9.0,19.0,48.0,66.0,39.0,44.2,-3.8,52.03,-13.97,47.03,8.03
93,0,2016.0,Dijon,38.0,8.0,13.0,17.0,46.0,58.0,37.0,38.59,-7.41,62.66,4.66,36.73,-0.27
94,0,2016.0,Caen,38.0,10.0,7.0,21.0,36.0,65.0,37.0,45.28,9.28,56.47,-8.53,45.49,8.49
95,0,2016.0,Lorient,38.0,10.0,6.0,22.0,44.0,70.0,36.0,44.46,0.46,51.88,-18.12,46.81,10.81
96,0,2016.0,Nancy,38.0,9.0,8.0,21.0,29.0,52.0,35.0,32.58,3.58,54.45,2.45,39.45,4.45
97,0,2016.0,SC Bastia,38.0,8.0,10.0,20.0,29.0,57.0,34.0,32.27,3.27,58.01,1.01,36.84,2.84
