fb_team,id,us_team
Toulouse FC,1809,Toulouse
1. FC Köln,31,FC Cologne
1. FSV Mainz 05,169,Mainz 05
AC Ajaccio,614,Ajaccio
AC Monza,111811,Monza
AFC Bournemouth,1943,Bournemouth
AJ Auxerre,57,Auxerre
Angers SCO,1530,Angers
Arsenal,1,Arsenal
AS Monaco,69,Monaco
Aston Villa,2,Aston Villa
Atalanta BC,115845,Atalanta
Athletic Club,448,Athletic Club
Atlético de Madrid,240,Atletico Madrid
Bologna,189,Bologna
Brentford,1925,Brentford
Brighton,1808,Brighton
Cádiz CF,1968,Cadiz
CA Osasuna,479,Osasuna
Chelsea,5,Chelsea
Clermont,1815,Clermont Foot
Cremonese,111434,Cremonese
Crystal Palace,1799,Crystal Palace
Dortmund,22,Borussia Dortmund
Elche CF,468,Elche
Empoli,1746,Empoli
Everton,7,Everton
FC Augsburg,100409,Augsburg
FC Barcelona,241,Barcelona
FC Bayern,21,Bayern Munich
FC Lorient,217,Lorient
FC Nantes,71,Nantes
FC Schalke 04,34,Schalke 04
Fiorentina,110374,Fiorentina
Frankfurt,1824,Eintracht Frankfurt
Fulham,144,Fulham
Getafe CF,1860,Getafe
Girona FC,110062,Girona
Hellas Verona,206,Verona
Hertha Berlin,166,Hertha Berlin
Inter,44,Inter
Juventus,45,Juventus
La Spezia,113974,Spezia
Lecce,347,Lecce
Leeds United,8,Leeds
Leicester City,95,Leicester
Leverkusen,32,Bayer Leverkusen
Liverpool,9,Liverpool
LOSC,65,Lille
M'gladbach,23,Borussia M.Gladbach
Manchester City,10,Manchester City
Manchester Utd,11,Manchester United
Milan,47,AC Milan
Montpellier,70,Montpellier
Napoli,116365,Napoli
Newcastle Utd,13,Newcastle United
Nott'm Forest,14,Nottingham Forest
OGC Nice,72,Nice
OL,66,Lyon
OM,219,Marseille
Paris SG,73,Paris Saint Germain
R. Valladolid CF,462,Real Valladolid
Rayo Vallecano,480,Rayo Vallecano
RB Leipzig,112172,RasenBallsport Leipzig
RC Celta,450,Celta Vigo
RC Lens,64,Lens
RCD Espanyol,452,Espanyol
RCD Mallorca,453,Mallorca
Real Betis,449,Real Betis
Real Madrid,243,Real Madrid
Real Sociedad,457,Real Sociedad
Rennes,74,Rennes
Roma FC,114912,Roma
Salernitana,110373,Salernitana
Sampdoria,1837,Sampdoria
Sassuolo,111974,Sassuolo
SC Freiburg,25,Freiburg
Sevilla FC,481,Sevilla
Southampton,17,Southampton
Spurs,18,Tottenham
SS Lazio,115841,Lazio
Stade Brestois 29,378,Brest
Stade de Reims,379,Reims
Strasbourg,76,Strasbourg
Torino,54,Torino
Troyes,294,Troyes
TSG Hoffenheim,10029,Hoffenheim
UD Almería,1861,Almeria
Udinese,55,Udinese
Union Berlin,1831,Union Berlin
Valencia CF,461,Valencia
VfB Stuttgart,36,VfB Stuttgart
VfL Bochum,160,Bochum
VfL Wolfsburg,175,Wolfsburg
Villarreal CF,483,Villarreal
Werder Bremen,38,Werder Bremen
West Ham,19,West Ham
Wolves,110,Wolverhampton Wanderers